param_n_estimators,param_max_depth,mean_test_score,std_test_score,mean_train_score,mean_fit_time
50,10,0.9500190275391649,0.002247059640293839,0.9513306253103584,0.920596694946289
50,15,0.9499990135353773,0.0028671699325101743,0.951435753090688,2.162112998962402
300,15,0.9499989995003115,0.0027320738364573728,0.9516810528319699,6.007610511779785
300,20,0.949938933428836,0.002938011823644346,0.9517211020173721,4.944715118408203
50,20,0.9498988953962136,0.0024418963073561638,0.9516109691069599,2.3660756587982177
50,,0.9498588433285257,0.002483315386569767,0.9515709194203428,2.1586211204528807
200,15,0.9498187932658471,0.0028969481871440263,0.9514657915147098,3.6205193519592287
300,10,0.949818787250819,0.0025511524165127654,0.9512104793830993,4.016570138931274
300,,0.9498187852458095,0.0028776427455312467,0.951691065347602,4.4724860191345215
200,10,0.9497987632219843,0.0026643112454244507,0.9512004673686821,2.5415625095367433
200,20,0.9497987632219843,0.00273266156060395,0.9514958293122131,3.407875680923462
100,15,0.9497587171693244,0.0027703538296846,0.951395704155893,2.1553534507751464
100,20,0.9497186671066459,0.002636140553678033,0.9514207354449729,1.7781053066253663
100,10,0.9496786170439673,0.0026034099349851263,0.9511003435907025,1.4355507373809815
200,,0.9496385709913074,0.0028372730396517224,0.9515108473338391,3.2331911087036134
100,,0.9495384468371156,0.0027056539886151686,0.9513456433319843,2.1209995269775392
300,5,0.947756282205714,0.00228475716706745,0.9492330668144167,2.44683723449707
100,5,0.9476761860903757,0.0025946827384517434,0.9491980237615267,1.8729328155517577
50,5,0.9476361400377158,0.002754586695776208,0.9492130425349747,0.5064768314361572
200,5,0.9475760639411932,0.002434428309712462,0.9489827601888002,1.4544736385345458
